INFO  |  2018-10-26 03:46:52,587  |  main  |  Application started
INFO  |  2018-10-26 03:46:53,071  |  main  |  API Initialized with XML
INFO  |  2018-10-26 03:47:06,738  |  main  |  Attempting to upload file
INFO  |  2018-10-26 03:50:40,629  |  main  |  Application started
INFO  |  2018-10-26 03:50:40,972  |  main  |  API Initialized with XML
INFO  |  2018-10-26 03:51:08,562  |  main  |  Attempting to upload file
INFO  |  2018-10-26 03:54:25,331  |  main  |  Application started
INFO  |  2018-10-26 03:54:25,706  |  main  |  API Initialized with XML
INFO  |  2018-10-26 03:54:33,019  |  main  |  Attempting to upload file
INFO  |  2018-10-26 15:43:48,418  |  util  |  util started
INFO  |  2018-10-26 15:43:48,439  |  flickr  |  Helper started
ERROR  |  2018-10-26 16:08:39,741  |  flickr  |  No filename provided to download_photo function
ERROR  |  2018-10-26 16:09:24,304  |  flickr  |  No filename provided to download_photo function
ERROR  |  2018-10-26 18:22:03,851  |  flickr  |  No filename provided to download_photo function
ERROR  |  2018-10-26 18:22:41,241  |  flickr  |  No filename provided to download_photo function
INFO  |  2018-10-26 18:23:27,833  |  util  |  util started
ERROR  |  2018-10-26 18:25:25,523  |  flickr  |  No filename provided to download_photo function
INFO  |  2018-10-26 18:27:05,394  |  util  |  util started
INFO  |  2018-10-26 18:28:01,766  |  util  |  util started
ERROR  |  2018-10-26 18:35:06,808  |  main  |  Test
ERROR  |  2018-10-26 18:35:53,889  |  main  |  Test
ERROR  |  2018-10-26 18:36:20,260  |  main  |  Test
ERROR  |  2018-10-26 18:39:22,026  |  main  |  Test
ERROR  |  2018-10-26 18:43:26,543  |  main  |  Test
ERROR  |  2018-10-26 18:48:13,368  |  main  |  Application started
ERROR  |  2018-10-26 18:48:42,436  |  main  |  Application started
ERROR  |  2018-10-26 18:50:32,254  |  main  |  Application started
ERROR  |  2018-10-26 18:53:53,168  |  main  |  Application started
CRITICAL  |  2018-10-26 18:54:03,740  |  main  |  Application started
INFO  |  2018-10-26 19:07:58,844  |  util  |  util started
INFO  |  2018-10-26 19:07:58,844  |  __main__  |  Test
INFO  |  2018-10-26 19:07:58,850  |  flickr  |  API Initialized with parsed-json
INFO:2018-10-26 19:17:38,842:flickr_helper:API Initialized with parsed-json
INFO:2018-10-26 19:18:20,365:util:Util started
INFO:2018-10-26 19:18:20,365:__main__:Helper started
INFO:2018-10-26 19:18:34,688:util:Util started
INFO:2018-10-26 19:18:34,688:__main__:Helper started
INFO:2018-10-26 19:20:37,142:util:Util started
INFO:2018-10-26 19:20:37,143:flickr_helper:Helper started
INFO:2018-10-26 19:20:37,143:__main__:Main started
INFO:2018-10-26 19:20:37,149:flickr_helper:API Initialized with parsed-json
INFO:2018-10-26 19:21:53,958:util:Util started
INFO:2018-10-26 19:21:53,958:flickr_helper:Helper started
INFO:2018-10-26 19:21:53,959:__main__:Main started
INFO:2018-10-26 19:21:53,964:flickr_helper:API Initialized with parsed-json
INFO:2018-10-26 19:22:04,982:util:Util started
INFO:2018-10-26 19:22:04,982:flickr_helper:Helper started
INFO:2018-10-26 19:22:04,983:__main__:Main started
INFO:2018-10-26 19:22:04,988:flickr_helper:API Initialized with parsed-json
INFO:2018-10-26 19:22:05,684:flickr_helper:Download function determined url = https://farm2.staticflickr.com/1936/44648763065_76d398fbf4_o.jpg
INFO:2018-10-26 19:24:15,437:util:Util started
INFO:2018-10-26 19:24:15,437:flickr_helper:Helper started
INFO:2018-10-26 19:25:32,952:util:Util started
INFO:2018-10-26 19:25:32,952:flickr_helper:Helper started
INFO:2018-10-26 19:25:46,356:util:Util started
INFO:2018-10-26 19:25:46,357:flickr_helper:Helper started
INFO:2018-10-26 19:25:46,362:flickr_helper:API Initialized with parsed-json
INFO:2018-10-26 19:26:31,725:util:Util started
INFO:2018-10-26 19:26:31,726:flickr_helper:Helper started
INFO:2018-10-26 19:26:31,731:flickr_helper:API Initialized with parsed-json
INFO:2018-10-26 19:27:41,636:util:Util started
INFO:2018-10-26 19:27:41,636:flickr_helper:Helper started
INFO  |  2018-10-26 19:27:41,637  |  __main__  |  Main started
INFO:2018-10-26 19:27:41,642:flickr_helper:API Initialized with parsed-json
INFO  |  2018-10-26 19:30:28,023  |  util  |  Util started
INFO  |  2018-10-26 19:30:28,024  |  __main__  |  Main started
INFO  |  2018-10-26 19:30:28,029  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-10-26 19:32:16,929  |  util  |  Util started
INFO  |  2018-10-26 19:32:16,930  |  __main__  |  Main started
INFO  |  2018-10-26 19:32:16,935  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-10-27 01:08:52,308  |  util  |  Util started
INFO  |  2018-10-27 01:08:52,309  |  __main__  |  Main started
INFO  |  2018-10-27 01:08:52,317  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-10-27 01:10:03,004  |  util  |  Util started
INFO  |  2018-10-27 01:10:03,005  |  __main__  |  Main started
INFO  |  2018-10-27 01:10:03,010  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-10-27 01:11:59,831  |  util  |  Util started
INFO  |  2018-10-27 01:11:59,832  |  __main__  |  Main started
INFO  |  2018-10-27 01:11:59,837  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-10-27 01:12:04,147  |  flickr_helper  |  Attempting to upload file
INFO  |  2018-10-27 01:12:46,876  |  util  |  Util started
INFO  |  2018-10-27 01:12:46,877  |  __main__  |  Main started
INFO  |  2018-10-27 01:12:46,882  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-10-27 01:12:47,312  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-10-27 01:12:58,275  |  util  |  Util started
INFO  |  2018-10-27 01:12:58,275  |  __main__  |  Main started
INFO  |  2018-10-27 01:12:58,281  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-10-27 01:12:58,711  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-10-27 01:13:02,257  |  flickr_helper  |  Attempting to upload file
INFO  |  2018-10-27 01:18:14,243  |  util  |  Util started
INFO  |  2018-10-27 01:18:14,248  |  __main__  |  Main started
INFO  |  2018-10-27 01:18:14,253  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-10-27 01:18:14,741  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-10-27 01:18:18,054  |  flickr_helper  |  Attempting to upload file
INFO  |  2018-10-27 01:19:35,446  |  util  |  Util started
INFO  |  2018-10-27 01:19:35,451  |  __main__  |  Main started
INFO  |  2018-10-27 01:19:35,456  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-10-27 01:19:35,919  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-10-27 01:19:39,289  |  flickr_helper  |  Attempting to upload file
INFO  |  2018-10-27 01:20:02,703  |  util  |  Util started
INFO  |  2018-10-27 01:20:02,710  |  __main__  |  Main started
INFO  |  2018-10-27 01:20:02,717  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-10-27 01:20:03,175  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-10-27 01:20:06,320  |  flickr_helper  |  Attempting to upload file
INFO  |  2018-10-27 01:21:26,221  |  util  |  Util started
INFO  |  2018-10-27 01:21:26,226  |  __main__  |  Main started
INFO  |  2018-10-27 01:21:26,232  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-10-27 01:21:26,700  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-10-27 01:21:30,132  |  flickr_helper  |  Attempting to upload file
INFO  |  2018-10-27 01:26:13,753  |  util  |  Util started
INFO  |  2018-10-27 01:26:13,759  |  __main__  |  Main started
INFO  |  2018-10-27 01:26:13,766  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-10-27 01:26:14,425  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-10-27 01:26:17,695  |  flickr_helper  |  Attempting to upload file
INFO  |  2018-10-27 01:27:53,764  |  util  |  Util started
INFO  |  2018-10-27 01:27:53,769  |  __main__  |  Main started
INFO  |  2018-10-27 01:27:53,774  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-10-27 01:27:54,229  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-10-27 01:27:57,945  |  flickr_helper  |  Attempting to upload file
INFO  |  2018-11-08 14:16:06,677  |  util  |  Util started
INFO  |  2018-11-08 14:16:06,755  |  __main__  |  Main started
INFO  |  2018-11-08 14:16:06,849  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-11-08 14:17:31,318  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-11-08 14:17:51,893  |  util  |  User canceled open dialog
INFO  |  2018-11-08 14:17:51,893  |  flickr_helper  |  Attempting to upload file
INFO  |  2018-11-08 14:18:08,606  |  util  |  Util started
INFO  |  2018-11-08 14:18:08,622  |  __main__  |  Main started
INFO  |  2018-11-08 14:18:08,637  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-11-08 14:18:09,059  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-11-08 14:18:18,206  |  util  |  User canceled open dialog
INFO  |  2018-11-08 14:18:18,206  |  flickr_helper  |  Attempting to upload file
INFO  |  2018-11-08 14:20:34,800  |  util  |  Util started
INFO  |  2018-11-08 14:20:34,815  |  __main__  |  Main started
INFO  |  2018-11-08 14:20:34,831  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-11-08 14:20:35,206  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-11-08 14:20:45,342  |  util  |  User canceled open dialog
INFO  |  2018-11-08 14:20:45,342  |  flickr_helper  |  Attempting to upload file
INFO  |  2018-11-08 14:21:48,951  |  util  |  Util started
INFO  |  2018-11-08 14:21:48,967  |  __main__  |  Main started
INFO  |  2018-11-08 14:21:48,983  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-11-08 14:21:49,358  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-11-08 14:21:53,653  |  util  |  User canceled open dialog
INFO  |  2018-11-08 14:21:53,653  |  flickr_helper  |  Attempting to upload file
INFO  |  2018-11-08 14:22:27,407  |  util  |  Util started
INFO  |  2018-11-08 14:23:08,765  |  util  |  Util started
INFO  |  2018-11-08 14:23:08,796  |  __main__  |  Main started
INFO  |  2018-11-08 14:23:08,828  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-11-08 14:23:09,257  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-11-08 14:24:20,145  |  util  |  Util started
INFO  |  2018-11-08 14:24:20,161  |  __main__  |  Main started
INFO  |  2018-11-08 14:24:20,177  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-11-08 14:24:20,567  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-11-08 14:24:21,505  |  flickr_helper  |  Download function determined url = https://farm2.staticflickr.com/1936/44648763065_76d398fbf4_o.jpg
INFO  |  2018-11-08 14:25:14,540  |  util  |  Util started
INFO  |  2018-11-08 14:25:14,572  |  __main__  |  Main started
INFO  |  2018-11-08 14:25:14,594  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-11-08 14:25:15,157  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-11-08 14:25:16,198  |  flickr_helper  |  Download function determined url = https://farm2.staticflickr.com/1936/44648763065_76d398fbf4_o.jpg
INFO  |  2018-11-08 14:25:43,390  |  util  |  Util started
INFO  |  2018-11-08 14:25:43,421  |  __main__  |  Main started
INFO  |  2018-11-08 14:25:43,452  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-11-08 14:25:44,014  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-11-08 14:25:44,841  |  flickr_helper  |  Download function determined url = https://farm2.staticflickr.com/1936/44648763065_76d398fbf4_o.jpg
INFO  |  2018-11-08 14:27:36,239  |  util  |  Util started
INFO  |  2018-11-08 14:27:36,270  |  __main__  |  Main started
INFO  |  2018-11-08 14:27:36,286  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-11-08 14:27:36,614  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-11-08 14:27:37,208  |  flickr_helper  |  Download function determined url = https://farm2.staticflickr.com/1936/44648763065_76d398fbf4_o.jpg
INFO  |  2018-11-08 14:28:46,275  |  util  |  Util started
INFO  |  2018-11-08 14:28:46,306  |  __main__  |  Main started
INFO  |  2018-11-08 14:28:46,322  |  flickr_helper  |  API Initialized with rest
INFO  |  2018-11-08 14:28:46,691  |  flickr_helper  |  API Initialized with parsed-json
INFO  |  2018-11-08 14:28:54,530  |  flickr_helper  |  Attempting to upload file
INFO  |  2018-11-08 14:28:59,468  |  flickr_helper  |  Download function determined url = https://farm2.staticflickr.com/1936/44648763065_76d398fbf4_o.jpg
INFO  |  2018-11-08 14:29:09,303  |  util  |  User canceled save dialog
ERROR  |  2018-11-08 14:29:09,303  |  flickr_helper  |  No filename provided to download_photo function
